abs,names,conc
1.654,X19334,5
1.574,X19334,5
0.121,pos,pos
1.839,X19334,10
1.733,X19334,10
1.69,X19334,10
1.75,X19334,10
1.735,X19334,10
0.119,pos,pos
1.703,X19334,25
1.7,X19334,25
1.639,X19334,25
1.69,X19334,25
1.581,X19334,25
0.115,pos,pos
1.665,X19335,0.5
1.816,X19335,0.5
1.69,X19335,0.5
1.76,X19335,0.5
1.718,X19335,0.5
0.118,pos,pos
1.682,X19335,5
1.61,X19335,5
1.734,X19335,5
1.699,X19335,5
1.678,X19335,5
1.813,neg,neg
1.548,X19335,10
1.587,X19335,10
1.673,X19335,10
1.688,X19335,10
1.633,X19335,10
1.878,neg,neg
1.194,X19335,25
1.262,X19335,25
1.222,X19335,25
1.282,X19335,25
1.275,X19335,25
1.852,neg,neg
1.325,X19338,0.5
1.334,X19338,0.5
1.334,X19338,0.5
1.383,X19338,0.5
1.352,X19338,0.5
1.951,neg,neg
1.065,X19338,5
1.098,X19338,5
1.139,X19338,5
1.189,X19338,5
1.161,X19338,5
1.93,neg,neg
0.977,X19338,10
1.023,X19338,10
1.005,X19338,10
1.038,X19338,10
0.979,X19338,10
0.127,pos,pos
0.997,X19338,25
1.039,X19338,25
1.074,X19338,25
1.06,X19338,25
1.038,X19338,25
0.121,pos,pos
1.572,X19339,0.5
1.714,X19339,0.5
1.696,X19339,0.5
1.58,X19339,0.5
1.508,X19339,0.5
0.123,pos,pos
1.695,X19339,5
1.775,X19339,5
1.671,X19339,5
1.759,X19339,5
1.54,X19339,5
0.125,pos,pos
1.658,X19339,10
1.608,X19339,10
1.688,X19339,10
1.674,X19339,10
1.682,X19339,10
0.122,pos,pos
0.526,X19339,25
1.069,X19339,25
0.951,X19339,25
1.166,X19339,25
1.215,X19339,25
1.53,neg,neg
1.762,X19340,0.5
1.833,X19340,0.5
1.76,X19340,0.5
1.831,X19340,0.5
1.904,X19340,0.5
1.926,neg,neg
1.888,X19340,5
1.942,X19340,5
1.856,X19340,5
1.957,X19340,5
1.88,X19340,5
2.015,neg,neg
1.805,X19340,10
1.859,X19340,10
1.825,X19340,10
1.867,X19340,10
1.877,X19340,10
2.058,neg,neg
1.809,X19340,25
1.765,X19340,25
1.841,X19340,25
1.828,X19340,25
1.802,X19340,25
2.057,neg,neg
1.448,X19341,0.5
1.451,X19341,0.5
1.415,X19341,0.5
1.478,X19341,0.5
1.402,X19341,0.5
0.1,pos,pos
1.761,X19341,5
1.628,X19341,5
1.555,X19341,5
1.542,X19341,5
1.694,X19341,5
0.112,pos,pos
1.674,X19341,10
1.587,X19341,10
1.675,X19341,10
1.598,X19341,10
1.614,X19341,10
0.108,pos,pos
1.568,X19341,25
1.567,X19341,25
1.539,X19341,25
1.545,X19341,25
1.474,X19341,25
0.106,pos,pos
1.497,X19342,0.5
1.513,X19342,0.5
1.529,X19342,0.5
1.508,X19342,0.5
1.525,X19342,0.5
0.109,pos,pos
1.614,X19342,5
1.561,X19342,5
1.5,X19342,5
1.589,X19342,5
1.523,X19342,5
1.663,neg,neg
1.627,X19342,10
1.612,X19342,10
1.64,X19342,10
1.603,X19342,10
1.505,X19342,10
1.767,neg,neg
1.602,X19342,25
1.618,X19342,25
1.59,X19342,25
1.538,X19342,25
1.503,X19342,25
1.559,neg,neg
1.454,X19343,0.5
1.428,X19343,0.5
1.449,X19343,0.5
1.418,X19343,0.5
1.491,X19343,0.5
